"GEO_ID","NAME","S1901_C01_001E","S1901_C01_001M","S1901_C01_002E","S1901_C01_002M","S1901_C01_003E","S1901_C01_003M","S1901_C01_004E","S1901_C01_004M","S1901_C01_005E","S1901_C01_005M","S1901_C01_006E","S1901_C01_006M","S1901_C01_007E","S1901_C01_007M","S1901_C01_008E","S1901_C01_008M","S1901_C01_009E","S1901_C01_009M","S1901_C01_010E","S1901_C01_010M","S1901_C01_011E","S1901_C01_011M","S1901_C01_012E","S1901_C01_012M","S1901_C01_013E","S1901_C01_013M","S1901_C01_014E","S1901_C01_014M","S1901_C01_015E","S1901_C01_015M","S1901_C01_016E","S1901_C01_016M","S1901_C02_001E","S1901_C02_001M","S1901_C02_002E","S1901_C02_002M","S1901_C02_003E","S1901_C02_003M","S1901_C02_004E","S1901_C02_004M","S1901_C02_005E","S1901_C02_005M","S1901_C02_006E","S1901_C02_006M","S1901_C02_007E","S1901_C02_007M","S1901_C02_008E","S1901_C02_008M","S1901_C02_009E","S1901_C02_009M","S1901_C02_010E","S1901_C02_010M","S1901_C02_011E","S1901_C02_011M","S1901_C02_012E","S1901_C02_012M","S1901_C02_013E","S1901_C02_013M","S1901_C02_014E","S1901_C02_014M","S1901_C02_015E","S1901_C02_015M","S1901_C02_016E","S1901_C02_016M","S1901_C03_001E","S1901_C03_001M","S1901_C03_002E","S1901_C03_002M","S1901_C03_003E","S1901_C03_003M","S1901_C03_004E","S1901_C03_004M","S1901_C03_005E","S1901_C03_005M","S1901_C03_006E","S1901_C03_006M","S1901_C03_007E","S1901_C03_007M","S1901_C03_008E","S1901_C03_008M","S1901_C03_009E","S1901_C03_009M","S1901_C03_010E","S1901_C03_010M","S1901_C03_011E","S1901_C03_011M","S1901_C03_012E","S1901_C03_012M","S1901_C03_013E","S1901_C03_013M","S1901_C03_014E","S1901_C03_014M","S1901_C03_015E","S1901_C03_015M","S1901_C03_016E","S1901_C03_016M","S1901_C04_001E","S1901_C04_001M","S1901_C04_002E","S1901_C04_002M","S1901_C04_003E","S1901_C04_003M","S1901_C04_004E","S1901_C04_004M","S1901_C04_005E","S1901_C04_005M","S1901_C04_006E","S1901_C04_006M","S1901_C04_007E","S1901_C04_007M","S1901_C04_008E","S1901_C04_008M","S1901_C04_009E","S1901_C04_009M","S1901_C04_010E","S1901_C04_010M","S1901_C04_011E","S1901_C04_011M","S1901_C04_012E","S1901_C04_012M","S1901_C04_013E","S1901_C04_013M","S1901_C04_014E","S1901_C04_014M","S1901_C04_015E","S1901_C04_015M","S1901_C04_016E","S1901_C04_016M"
"id","Geographic Area Name","Estimate!!Households!!Total","Margin of Error!!Households!!Total","Estimate!!Households!!Total!!Less than $10,000","Margin of Error!!Households!!Total!!Less than $10,000","Estimate!!Households!!Total!!$10,000 to $14,999","Margin of Error!!Households!!Total!!$10,000 to $14,999","Estimate!!Households!!Total!!$15,000 to $24,999","Margin of Error!!Households!!Total!!$15,000 to $24,999","Estimate!!Households!!Total!!$25,000 to $34,999","Margin of Error!!Households!!Total!!$25,000 to $34,999","Estimate!!Households!!Total!!$35,000 to $49,999","Margin of Error!!Households!!Total!!$35,000 to $49,999","Estimate!!Households!!Total!!$50,000 to $74,999","Margin of Error!!Households!!Total!!$50,000 to $74,999","Estimate!!Households!!Total!!$75,000 to $99,999","Margin of Error!!Households!!Total!!$75,000 to $99,999","Estimate!!Households!!Total!!$100,000 to $149,999","Margin of Error!!Households!!Total!!$100,000 to $149,999","Estimate!!Households!!Total!!$150,000 to $199,999","Margin of Error!!Households!!Total!!$150,000 to $199,999","Estimate!!Households!!Total!!$200,000 or more","Margin of Error!!Households!!Total!!$200,000 or more","Estimate!!Households!!Median income (dollars)","Margin of Error!!Households!!Median income (dollars)","Estimate!!Households!!Mean income (dollars)","Margin of Error!!Households!!Mean income (dollars)","Estimate!!Households!!PERCENT ALLOCATED!!Household income in the past 12 months","Margin of Error!!Households!!PERCENT ALLOCATED!!Household income in the past 12 months","Estimate!!Households!!PERCENT ALLOCATED!!Family income in the past 12 months","Margin of Error!!Households!!PERCENT ALLOCATED!!Family income in the past 12 months","Estimate!!Households!!PERCENT ALLOCATED!!Nonfamily income in the past 12 months","Margin of Error!!Households!!PERCENT ALLOCATED!!Nonfamily income in the past 12 months","Estimate!!Families!!Total","Margin of Error!!Families!!Total","Estimate!!Families!!Total!!Less than $10,000","Margin of Error!!Families!!Total!!Less than $10,000","Estimate!!Families!!Total!!$10,000 to $14,999","Margin of Error!!Families!!Total!!$10,000 to $14,999","Estimate!!Families!!Total!!$15,000 to $24,999","Margin of Error!!Families!!Total!!$15,000 to $24,999","Estimate!!Families!!Total!!$25,000 to $34,999","Margin of Error!!Families!!Total!!$25,000 to $34,999","Estimate!!Families!!Total!!$35,000 to $49,999","Margin of Error!!Families!!Total!!$35,000 to $49,999","Estimate!!Families!!Total!!$50,000 to $74,999","Margin of Error!!Families!!Total!!$50,000 to $74,999","Estimate!!Families!!Total!!$75,000 to $99,999","Margin of Error!!Families!!Total!!$75,000 to $99,999","Estimate!!Families!!Total!!$100,000 to $149,999","Margin of Error!!Families!!Total!!$100,000 to $149,999","Estimate!!Families!!Total!!$150,000 to $199,999","Margin of Error!!Families!!Total!!$150,000 to $199,999","Estimate!!Families!!Total!!$200,000 or more","Margin of Error!!Families!!Total!!$200,000 or more","Estimate!!Families!!Median income (dollars)","Margin of Error!!Families!!Median income (dollars)","Estimate!!Families!!Mean income (dollars)","Margin of Error!!Families!!Mean income (dollars)","Estimate!!Families!!PERCENT ALLOCATED!!Household income in the past 12 months","Margin of Error!!Families!!PERCENT ALLOCATED!!Household income in the past 12 months","Estimate!!Families!!PERCENT ALLOCATED!!Family income in the past 12 months","Margin of Error!!Families!!PERCENT ALLOCATED!!Family income in the past 12 months","Estimate!!Families!!PERCENT ALLOCATED!!Nonfamily income in the past 12 months","Margin of Error!!Families!!PERCENT ALLOCATED!!Nonfamily income in the past 12 months","Estimate!!Married-couple families!!Total","Margin of Error!!Married-couple families!!Total","Estimate!!Married-couple families!!Total!!Less than $10,000","Margin of Error!!Married-couple families!!Total!!Less than $10,000","Estimate!!Married-couple families!!Total!!$10,000 to $14,999","Margin of Error!!Married-couple families!!Total!!$10,000 to $14,999","Estimate!!Married-couple families!!Total!!$15,000 to $24,999","Margin of Error!!Married-couple families!!Total!!$15,000 to $24,999","Estimate!!Married-couple families!!Total!!$25,000 to $34,999","Margin of Error!!Married-couple families!!Total!!$25,000 to $34,999","Estimate!!Married-couple families!!Total!!$35,000 to $49,999","Margin of Error!!Married-couple families!!Total!!$35,000 to $49,999","Estimate!!Married-couple families!!Total!!$50,000 to $74,999","Margin of Error!!Married-couple families!!Total!!$50,000 to $74,999","Estimate!!Married-couple families!!Total!!$75,000 to $99,999","Margin of Error!!Married-couple families!!Total!!$75,000 to $99,999","Estimate!!Married-couple families!!Total!!$100,000 to $149,999","Margin of Error!!Married-couple families!!Total!!$100,000 to $149,999","Estimate!!Married-couple families!!Total!!$150,000 to $199,999","Margin of Error!!Married-couple families!!Total!!$150,000 to $199,999","Estimate!!Married-couple families!!Total!!$200,000 or more","Margin of Error!!Married-couple families!!Total!!$200,000 or more","Estimate!!Married-couple families!!Median income (dollars)","Margin of Error!!Married-couple families!!Median income (dollars)","Estimate!!Married-couple families!!Mean income (dollars)","Margin of Error!!Married-couple families!!Mean income (dollars)","Estimate!!Married-couple families!!PERCENT ALLOCATED!!Household income in the past 12 months","Margin of Error!!Married-couple families!!PERCENT ALLOCATED!!Household income in the past 12 months","Estimate!!Married-couple families!!PERCENT ALLOCATED!!Family income in the past 12 months","Margin of Error!!Married-couple families!!PERCENT ALLOCATED!!Family income in the past 12 months","Estimate!!Married-couple families!!PERCENT ALLOCATED!!Nonfamily income in the past 12 months","Margin of Error!!Married-couple families!!PERCENT ALLOCATED!!Nonfamily income in the past 12 months","Estimate!!Nonfamily households!!Total","Margin of Error!!Nonfamily households!!Total","Estimate!!Nonfamily households!!Total!!Less than $10,000","Margin of Error!!Nonfamily households!!Total!!Less than $10,000","Estimate!!Nonfamily households!!Total!!$10,000 to $14,999","Margin of Error!!Nonfamily households!!Total!!$10,000 to $14,999","Estimate!!Nonfamily households!!Total!!$15,000 to $24,999","Margin of Error!!Nonfamily households!!Total!!$15,000 to $24,999","Estimate!!Nonfamily households!!Total!!$25,000 to $34,999","Margin of Error!!Nonfamily households!!Total!!$25,000 to $34,999","Estimate!!Nonfamily households!!Total!!$35,000 to $49,999","Margin of Error!!Nonfamily households!!Total!!$35,000 to $49,999","Estimate!!Nonfamily households!!Total!!$50,000 to $74,999","Margin of Error!!Nonfamily households!!Total!!$50,000 to $74,999","Estimate!!Nonfamily households!!Total!!$75,000 to $99,999","Margin of Error!!Nonfamily households!!Total!!$75,000 to $99,999","Estimate!!Nonfamily households!!Total!!$100,000 to $149,999","Margin of Error!!Nonfamily households!!Total!!$100,000 to $149,999","Estimate!!Nonfamily households!!Total!!$150,000 to $199,999","Margin of Error!!Nonfamily households!!Total!!$150,000 to $199,999","Estimate!!Nonfamily households!!Total!!$200,000 or more","Margin of Error!!Nonfamily households!!Total!!$200,000 or more","Estimate!!Nonfamily households!!Median income (dollars)","Margin of Error!!Nonfamily households!!Median income (dollars)","Estimate!!Nonfamily households!!Mean income (dollars)","Margin of Error!!Nonfamily households!!Mean income (dollars)","Estimate!!Nonfamily households!!PERCENT ALLOCATED!!Household income in the past 12 months","Margin of Error!!Nonfamily households!!PERCENT ALLOCATED!!Household income in the past 12 months","Estimate!!Nonfamily households!!PERCENT ALLOCATED!!Family income in the past 12 months","Margin of Error!!Nonfamily households!!PERCENT ALLOCATED!!Family income in the past 12 months","Estimate!!Nonfamily households!!PERCENT ALLOCATED!!Nonfamily income in the past 12 months","Margin of Error!!Nonfamily households!!PERCENT ALLOCATED!!Nonfamily income in the past 12 months"
"8600000US98001","ZCTA5 98001","11247","287","2.7","0.9","1.5","0.6","4.5","1.4","3.9","1.0","8.4","1.6","19.3","2.8","15.1","2.5","26.4","2.7","10.8","1.9","7.3","1.8","90287","7079","102055","4442","30.8","(X)","(X)","(X)","(X)","(X)","8554","383","1.4","0.6","0.7","0.6","3.4","1.7","3.5","1.5","7.8","1.9","18.4","2.7","16.9","3.1","27.3","3.3","11.3","2.2","9.4","2.2","95792","5890","108585","5118","(X)","(X)","30.3","(X)","(X)","(X)","6788","388","0.5","0.4","0.4","0.5","2.2","1.5","2.6","1.6","4.6","1.6","16.3","2.8","17.1","3.3","32.1","3.9","14.2","2.8","10.0","2.5","104731","4106","N","N","(X)","(X)","(X)","(X)","(X)","(X)","2693","357","7.6","3.1","4.0","1.9","10.4","4.4","7.7","3.3","13.3","4.9","21.5","6.4","7.6","2.7","20.7","6.3","6.5","3.7","0.6","0.6","61424","8812","72939","7776","(X)","(X)","(X)","(X)","30.0","(X)"
"8600000US98002","ZCTA5 98002","13475","465","4.9","1.4","3.5","1.1","9.1","1.7","11.5","2.0","13.8","2.2","22.9","2.8","13.5","2.4","14.0","2.2","3.9","1.2","2.9","1.1","57317","2210","68474","3911","28.3","(X)","(X)","(X)","(X)","(X)","7921","330","5.0","2.0","1.8","0.9","5.6","1.9","9.2","2.8","12.2","2.6","22.9","4.0","16.4","3.4","17.9","3.4","6.1","1.9","2.8","1.3","64800","7764","77671","5757","(X)","(X)","27.3","(X)","(X)","(X)","5310","418","1.1","0.8","1.2","0.8","2.4","1.4","5.4","2.4","10.1","3.1","24.2","4.9","20.3","4.8","22.7","4.3","9.1","2.8","3.3","1.7","79918","4219","N","N","(X)","(X)","(X)","(X)","(X)","(X)","5554","525","7.7","2.6","6.0","2.2","16.0","3.9","14.4","3.3","15.2","3.3","21.7","4.2","8.9","2.9","7.2","2.9","0.5","0.5","2.6","1.9","39739","3940","51379","5020","(X)","(X)","(X)","(X)","27.4","(X)"
"8600000US98003","ZCTA5 98003","18547","524","7.1","1.5","4.8","1.2","6.2","1.7","9.6","1.6","14.3","2.1","21.9","2.4","12.2","1.9","14.1","1.7","5.8","1.2","4.0","1.0","59391","2630","75321","3494","32.1","(X)","(X)","(X)","(X)","(X)","11657","532","6.2","1.9","2.5","1.1","5.0","1.8","8.5","1.9","12.5","2.6","22.5","3.6","13.1","2.5","17.3","2.5","7.1","1.8","5.4","1.5","65931","3925","84622","4973","(X)","(X)","30.8","(X)","(X)","(X)","7557","491","2.9","2.0","1.8","1.4","1.7","1.0","7.0","2.2","11.5","2.8","20.9","3.9","14.8","2.9","21.5","3.1","10.4","2.8","7.6","2.3","83367","9137","N","N","(X)","(X)","(X)","(X)","(X)","(X)","6890","575","9.9","2.6","9.5","3.0","10.9","3.5","11.9","2.9","18.2","3.7","21.1","3.8","8.2","2.6","7.1","2.2","1.8","0.8","1.3","1.1","40134","3426","52324","6051","(X)","(X)","(X)","(X)","29.8","(X)"
"8600000US98004","ZCTA5 98004","17070","387","3.7","1.1","1.7","0.7","3.0","0.9","2.7","0.8","5.1","1.3","8.8","1.5","10.2","1.7","19.5","2.2","12.6","1.7","32.7","2.3","134580","8268","197786","10372","23.0","(X)","(X)","(X)","(X)","(X)","9651","479","1.0","0.5","0.5","0.4","1.9","1.0","1.8","0.9","3.0","1.1","6.9","1.9","8.3","2.2","16.4","2.8","16.1","2.5","44.2","3.4","180163","9505","243771","14602","(X)","(X)","26.5","(X)","(X)","(X)","8548","508","0.4","0.4","0.4","0.3","1.7","1.0","0.9","0.9","2.3","1.0","4.7","1.7","7.7","2.4","17.7","3.1","17.2","2.5","47.0","3.7","188228","9024","N","N","(X)","(X)","(X)","(X)","(X)","(X)","7419","574","7.3","2.4","3.2","1.3","4.6","1.7","4.0","1.4","8.1","2.5","11.6","2.7","13.2","2.9","23.2","3.7","8.0","2.0","16.9","3.2","96075","6291","135058","13847","(X)","(X)","(X)","(X)","16.9","(X)"
"8600000US98005","ZCTA5 98005","8008","311","3.3","1.7","3.4","1.5","3.6","1.3","2.8","1.3","5.6","1.4","10.8","1.9","11.7","2.5","19.1","3.1","15.2","2.4","24.2","3.0","120913","6793","157377","9963","24.0","(X)","(X)","(X)","(X)","(X)","5003","327","2.8","2.2","1.0","0.8","2.2","1.1","2.5","1.8","1.5","0.9","6.8","2.1","11.8","2.6","21.9","3.6","19.6","3.4","29.9","3.7","147964","10604","190289","12855","(X)","(X)","23.4","(X)","(X)","(X)","4254","311","3.2","2.5","0.8","0.7","2.0","1.2","0.9","0.8","1.1","0.7","5.4","2.3","11.6","2.7","20.6","3.7","21.3","3.8","33.1","4.2","157403","9561","N","N","(X)","(X)","(X)","(X)","(X)","(X)","3005","324","4.4","3.0","7.4","3.9","6.3","2.7","3.4","1.9","12.8","3.4","17.8","4.4","12.2","4.9","16.4","5.9","7.4","3.4","12.0","3.1","72466","11365","96836","10888","(X)","(X)","(X)","(X)","24.6","(X)"
"8600000US98006","ZCTA5 98006","13337","357","2.1","0.8","0.8","0.4","2.3","0.9","3.2","0.9","5.6","1.4","10.9","1.9","9.1","1.4","17.9","2.3","15.6","1.9","32.6","2.1","144247","9038","186548","10524","26.2","(X)","(X)","(X)","(X)","(X)","10531","383","1.7","0.8","0.1","0.2","2.0","1.1","2.2","0.9","5.3","1.8","7.3","1.6","8.8","1.4","17.5","2.4","17.2","2.3","37.9","2.5","163048","7204","208084","12815","(X)","(X)","26.5","(X)","(X)","(X)","9035","373","0.4","0.4","0.0","0.4","0.8","0.6","1.7","0.8","3.9","1.7","5.9","1.5","8.0","1.4","18.1","2.4","18.5","2.5","42.6","2.9","176169","10728","N","N","(X)","(X)","(X)","(X)","(X)","(X)","2806","297","3.3","2.0","3.2","2.2","3.8","2.0","7.1","2.8","7.3","2.7","25.1","6.3","10.2","4.3","19.8","5.5","9.2","3.9","11.0","4.3","75600","15208","100375","9868","(X)","(X)","(X)","(X)","25.1","(X)"
"8600000US98007","ZCTA5 98007","11859","385","5.4","1.6","2.5","1.2","6.4","2.0","3.7","1.4","7.2","1.9","13.5","2.8","12.3","2.4","22.6","3.2","10.2","2.2","16.3","2.6","96545","7389","120294","7475","23.5","(X)","(X)","(X)","(X)","(X)","7451","432","3.4","1.4","1.4","1.0","6.4","2.6","3.6","1.9","4.9","2.0","11.1","3.4","12.8","3.2","25.4","4.5","12.1","2.9","18.8","3.7","107378","5349","136795","11522","(X)","(X)","22.8","(X)","(X)","(X)","6140","429","1.5","0.9","1.7","1.3","2.1","1.2","1.1","0.9","3.5","1.5","12.0","3.8","14.4","3.5","29.0","5.0","14.1","3.5","20.6","4.0","114548","14875","N","N","(X)","(X)","(X)","(X)","(X)","(X)","4408","378","9.5","4.1","4.4","2.4","8.6","4.0","4.4","1.9","8.1","3.0","18.6","4.2","12.8","4.2","17.4","4.1","6.3","3.1","10.0","3.2","71025","7041","87006","8100","(X)","(X)","(X)","(X)","23.0","(X)"
"8600000US98008","ZCTA5 98008","9278","254","3.4","1.0","1.7","0.9","2.8","1.1","4.2","1.2","8.0","2.2","12.0","2.0","11.0","2.0","17.2","2.3","13.2","2.2","26.6","2.9","117775","8985","157380","8764","26.7","(X)","(X)","(X)","(X)","(X)","6934","267","1.4","0.7","1.7","0.9","1.5","0.7","2.6","1.1","7.6","2.7","11.9","2.3","9.9","2.1","17.5","2.5","14.8","2.8","31.2","3.3","138172","11106","175305","11248","(X)","(X)","23.9","(X)","(X)","(X)","5973","237","1.0","0.6","1.0","0.7","0.6","0.4","2.0","1.0","5.2","1.9","11.5","2.8","9.3","2.1","18.9","2.8","16.2","3.1","34.4","3.6","151414","14289","N","N","(X)","(X)","(X)","(X)","(X)","(X)","2344","222","10.0","3.8","3.9","2.9","6.6","3.2","9.2","3.0","9.8","3.8","13.4","3.8","13.7","3.8","14.3","3.6","8.7","3.5","10.3","3.5","70221","12425","93209","10214","(X)","(X)","(X)","(X)","31.5","(X)"
"8600000US98010","ZCTA5 98010","2135","169","4.5","3.9","2.0","2.3","5.5","3.4","2.7","3.4","4.7","2.7","9.7","4.4","13.9","4.7","24.6","6.0","12.8","4.0","19.7","5.5","123415","17929","135964","14069","31.4","(X)","(X)","(X)","(X)","(X)","1629","126","0.0","2.1","0.0","2.1","2.7","2.0","0.5","0.8","4.1","3.2","14.4","7.3","11.4","5.3","27.1","6.8","16.0","5.0","23.9","6.6","137721","16149","156154","15406","(X)","(X)","31.2","(X)","(X)","(X)","1364","147","0.0","2.5","0.0","2.5","1.7","1.8","0.0","2.5","4.1","3.4","9.3","4.7","10.0","4.9","27.7","7.4","18.5","5.9","28.6","7.2","147083","7885","N","N","(X)","(X)","(X)","(X)","(X)","(X)","506","151","19.2","14.9","8.3","9.5","14.4","13.1","11.3","13.6","6.7","5.9","7.3","9.2","21.7","12.8","2.6","3.7","4.0","6.2","4.5","7.1","32500","14255","57616","25752","(X)","(X)","(X)","(X)","27.7","(X)"
